1001,Wireless Mouse,Electronics|Accessories,29.99
1002,"Apple iPhone 14, 128GB",Smartphones|Electronics,999.99
1003,"Book: ""The Art of War""",Books|Classics,14.99
1004,Gaming Keyboard,Electronics|Gaming|Accessories,79.99
1005,"Sony 65"" OLED TV, Smart",Electronics|Home Entertainment|TVs,1899.99
1006,USB-C Cable,Electronics|Accessories|Cables,12.99
1007,Bluetooth Speaker,Audio|Electronics|Portable Devices,49.99
1008,"Laptop Stand, Adjustable",Office|Accessories,39.99
1009,Mechanical Pencil Set,Office Supplies|Writing,8.99
1010,"Samsung Galaxy S23, 256GB",Smartphones|Electronics,1099.99
1011,Wireless Earbuds,Audio|Electronics|Accessories,149.99
1012,HDMI Cable 6ft,Electronics|Cables|Accessories,9.99
1013,"Monitor 27"", 4K UHD",Computers|Electronics|Displays,399.99
1014,External SSD 1TB,Computers|Storage|Electronics,119.99
1015,"Desk Lamp, LED",Office|Lighting|Home,45.99
1016,Webcam 1080p,Computers|Electronics|Peripherals,79.99
1017,Ergonomic Mouse Pad,Office|Accessories|Gaming,24.99
1018,"Notebook, Spiral Bound",Office Supplies|Writing,5.99
1019,Portable Charger 20000mAh,Electronics|Mobile Accessories,34.99
1020,Smart Watch Series 8,Electronics|Wearables|Fitness,449.99
